id,station_code,station_name,region_id,latitude,longitude,altitude,station_type,soil_type_id,establishment_date,equipment_list,monitoring_frequency,responsible_person,contact_info,status,created_at
1,ST51000001,四川省郑州监测站1,264,30.043645455876586,103.50879967738042,204,国家级,19,2016-03-21,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,秦凤英,15801308873,inactive,2024-12-13 07:46:50
2,ST63000002,青海省马鞍山监测站2,163,37.97692358873743,101.61403464887525,1487,村级,15,2020-08-11,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,傅文,18219428718,active,2023-08-22 10:19:44
3,ST35000003,福建省潜江房山监测站3,90,26.45242482606616,118.04168992208433,1165,市级,28,2023-05-22,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,莫桂英,13633084574,inactive,2025-01-18 20:45:28
4,ST54000004,西藏自治区东莞兴山监测站4,757,26.846544553179854,90.88093886295394,171,省级,9,2022-09-02,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,蔡桂英,18958865020,maintenance,2025-05-08 20:40:05
5,ST51000005,四川省南昌监测站5,123,33.3325044291809,106.41845575306112,441,村级,25,2020-11-09,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,陈婷婷,18805583431,inactive,2025-01-01 19:49:01
6,ST63000006,青海省大冶监测站6,547,34.7861048119712,103.25144361355382,1345,县级,7,2022-11-20,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,王丹,14713066023,inactive,2023-09-02 08:23:53
7,ST45000007,广西壮族自治区太原璧山监测站7,858,22.72504866570631,108.5001381433295,521,市级,40,2022-03-21,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,张凤英,14508934609,inactive,2024-01-27 04:12:24
8,ST32950008,江苏省苏州市花溪监测站8,84,29.1179627093115,120.33259664792921,2989,市级,38,2018-10-14,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,张飞,14791518343,active,2025-01-10 19:08:10
9,ST62000009,甘肃省柳州秀英监测站9,926,37.369303327685664,103.48595056148507,1523,省级,43,2023-10-30,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,沈琴,15350652821,inactive,2025-04-01 18:04:31
10,ST34000010,安徽省太原监测站10,62,29.866363099709172,117.9001150998312,2463,省级,33,2017-04-11,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每季度,李淑英,15674070966,inactive,2023-08-29 10:24:48
11,ST14230011,山西省大同市监测站11,35,41.00185712564556,113.48071329750414,2098,市级,8,2019-02-26,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,蔡慧,13993883490,active,2025-04-09 17:34:54
12,ST31000012,上海市巢湖高港监测站12,854,29.854502202210455,122.8058548564189,281,国家级,24,2018-03-14,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,张婷,18664605768,maintenance,2023-11-12 11:03:39
13,ST21000013,辽宁省汕尾新城监测站13,761,41.71750520575566,126.52514507697826,983,市级,10,2021-12-26,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每日,朱艳,15710367910,maintenance,2024-06-10 05:03:50
14,ST22000014,吉林省六安高港监测站14,891,44.58272929203235,125.17525185572116,702,村级,31,2019-01-16,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每月,李慧,13733088847,inactive,2024-10-06 11:00:06
15,ST33300015,浙江省杭州市平山监测站15,559,31.07099150257848,121.78604177964284,1119,村级,2,2019-06-26,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每周,胡琳,13029230288,active,2023-09-30 15:23:50
16,ST64000016,宁夏回族自治区呼和浩特清城监测站16,646,38.06820289161059,108.6877409694878,1821,村级,48,2024-02-16,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,张斌,18649343772,inactive,2024-08-26 05:56:56
17,ST21000017,辽宁省汕尾安次监测站17,682,43.89388402319509,124.13188172332019,2692,县级,24,2023-11-11,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每月,马林,18864890359,inactive,2025-03-25 00:12:28
18,ST37000018,山东省沈阳锡山监测站18,120,37.294443599417654,116.0741554157617,703,县级,49,2023-06-19,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每日,邱春梅,18955903786,active,2024-09-13 00:42:57
19,ST61000019,陕西省哈尔滨华龙监测站19,182,35.266684170622625,108.52700874686683,2617,村级,42,2021-11-25,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪""]",每周,孙莉,13262462218,active,2025-06-11 10:49:31
20,ST41000020,河南省香港翔安监测站20,539,35.02799194751877,110.31839341961026,1606,县级,5,2019-04-17,"[""pH计"", ""电导率仪"", ""土壤温度计"", ""水分仪"", ""光谱仪"", ""X射线荧光仪""]",每季度,钱龙,14504849820,inactive,2025-06-05 11:04:02
